id,bertscore_avg,nli_entail_avg,nli_contra_avg,nli_faith_avg,deepseek_entail,qwen_entail,gemma_entail,deepseek_contra,qwen_contra,gemma_contra
352,0.7238917633333334,0.513322502374649,0.12102896207943559,0.39229354029521346,0.26005783677101135,0.9731082916259766,0.30680137872695923,0.29583752155303955,0.004797022324055433,0.06245234236121178
25770,0.7552651466666666,0.7733709812164307,0.02282842341810465,0.750542557798326,0.6717855930328369,0.7603077292442322,0.8880196213722229,0.036447640508413315,0.007811510004103184,0.024226119741797447
18164,0.7387854333333334,0.6248275438944498,0.2778380513191223,0.3469894925753275,0.3689252734184265,0.8036331534385681,0.701924204826355,0.4806995391845703,0.1675483137369156,0.18526630103588104
20604,0.7459529000000001,0.6517908672491709,0.30160648251573247,0.35018438473343844,0.7841565608978271,0.21140065789222717,0.9598153829574585,0.19197826087474823,0.6837438344955444,0.02909735217690468
11567,0.7339380533333334,0.6303796172142029,0.07842406009634335,0.5519555571178595,0.9177996516227722,0.255731463432312,0.7176077365875244,0.04605294391512871,0.13883526623249054,0.05038397014141083
13645,0.7650735133333333,0.8620452483495077,0.008062880796690782,0.8539823675528169,0.8000869750976562,0.9018201231956482,0.8842286467552185,0.015001616440713406,0.00804994348436594,0.001137082464993
11657,0.7287441333333334,0.26464878519376117,0.26086334480593604,0.003785440387825134,0.14683742821216583,0.3989278972148895,0.2481810301542282,0.7255879640579224,0.011494926176965237,0.045507144182920456
6956,0.7534434799999999,0.5011771420637766,0.036682570488968246,0.4644945715748084,0.1286485493183136,0.9348213076591492,0.4400615692138672,0.0024405920412391424,0.0008134103263728321,0.10679370909929276
20093,0.70428582,0.8767513831456503,0.039192091984053455,0.8375592911615968,0.8959693312644958,0.749740481376648,0.9845443367958069,0.04937620833516121,0.06706515699625015,0.0011349106207489967
19063,0.7382447833333333,0.5565265094240507,0.04440679571901759,0.5121197137050331,0.11733170598745346,0.6219789981842041,0.9302688241004944,0.02139379270374775,0.10808373987674713,0.0037428545765578747
14259,0.7375080266666666,0.910788098971049,0.018609339836984873,0.8921787591340641,0.9333534836769104,0.8215206861495972,0.9774901270866394,0.03733884170651436,0.011902901344001293,0.006586276460438967
15726,0.7108444666666666,0.9559417366981506,0.019776196568273008,0.9361655401298776,0.9523471593856812,0.9169358611106873,0.9985421895980835,0.006938284728676081,0.051932450383901596,0.00045785459224134684
16225,0.7580164000000001,0.7465280890464783,0.20344643744950494,0.5430816515969733,0.3708871006965637,0.8986789584159851,0.970018208026886,0.5926758646965027,0.010140636935830116,0.0075228107161819935
15181,0.7007298066666666,0.6545280615488688,0.06459023008937947,0.5899378314594893,0.5559496283531189,0.4141003489494324,0.9935342073440552,0.060456715524196625,0.13287243247032166,0.00044154227362014353
13389,0.7323809333333333,0.8443349202473959,0.014462013884137074,0.8298729063632588,0.5734267830848694,0.9674959778785706,0.9920819997787476,0.035530101507902145,0.006518936716020107,0.0013370034284889698
6292,0.7491321666666666,0.42309857718646526,0.07499760404850046,0.3481009731379648,0.018287817016243935,0.6238093972206116,0.6271985173225403,0.0025435960851609707,0.009472045116126537,0.21297717094421387
14261,0.7450784133333332,0.5665255834658941,0.027530474898715813,0.5389951085671782,0.5707083344459534,0.21312572062015533,0.9157426953315735,0.011752498336136341,0.007292760536074638,0.06354616582393646
12813,0.7943269900000001,0.7854177554448446,0.08300051838159561,0.702417237063249,0.6495680212974548,0.9307067394256592,0.7759785056114197,0.08355677127838135,0.023852325975894928,0.14159245789051056
21399,0.7722641433333334,0.6515881717205048,0.108113634865731,0.5434745368547738,0.3239605128765106,0.9671686887741089,0.6636353135108948,0.03427882865071297,0.0040780664421617985,0.28598400950431824
21314,0.7325860666666667,0.7833004295825958,0.03159852776055535,0.7517019018220404,0.8908566236495972,0.47204288840293884,0.9870017766952515,0.016703546047210693,0.07043751329183578,0.007654523942619562
18702,0.78271985,0.2639644940694173,0.3571523283608258,-0.09318783429140848,0.05092799663543701,0.34471696615219116,0.3962485194206238,0.719711422920227,0.006215827073901892,0.3455297350883484
22448,0.7448580666666667,0.5349179605642954,0.09710008433709542,0.4378178762272,0.1970251202583313,0.42254582047462463,0.9851829409599304,0.016078321263194084,0.26649630069732666,0.008725631050765514
19701,0.73870387,0.479408860206604,0.2527674787367384,0.22664138146986562,0.2603212594985962,0.9718238115310669,0.20608150959014893,0.015271357260644436,0.008473867550492287,0.7345572113990784
